scenario,ev,step,lon,lat
turin,vehev1,25200,7.673515545288466,45.0335135640046
turin,vehev1,25201,7.6735306483958,45.03354599542651
turin,vehev1,25202,7.673544061559542,45.03357479794271
turin,vehev1,25203,7.673557884101932,45.0336044794996
turin,vehev1,25204,7.673573213389409,45.03363739649805
turin,vehev1,25205,7.673585679399791,45.03366416507451
turin,vehev1,25206,7.673598875535202,45.033692501438686
turin,vehev1,25207,7.673611293419013,45.03371916661898
turin,vehev1,25208,7.673625048203035,45.033748702523084
turin,vehev1,25209,7.673638262771983,45.03377707838375
turin,vehev1,25210,7.673652253582181,45.03380712104845
turin,vehev1,25211,7.6736653751610495,45.03383529717091
turin,vehev1,25212,7.673680316554192,45.03386738096747
turin,vehev1,25213,7.6736924505956265,45.0338934364836
turin,vehev1,25214,7.673706276289315,45.03392312446727
turin,vehev1,25215,7.673718172222975,45.03394866864189
turin,vehev1,25216,7.673730825077273,45.03397583812871
turin,vehev1,25217,7.6737436334998845,45.03400334164053
turin,vehev1,25218,7.673755500432747,45.03402882346817
turin,vehev1,25219,7.6737678579121305,45.034055358619995
turin,vehev1,25220,7.673783365267304,45.03408865744807
turin,vehev1,25221,7.673796332162112,45.03411650113396
turin,vehev1,25222,7.673810995279363,45.03414798706804
turin,vehev1,25223,7.673822173313196,45.034171989500784
turin,vehev1,25224,7.673833816427904,45.034196990573044
turin,vehev1,25225,7.673847414315107,45.03422618906825
turin,vehev1,25226,7.673861935483849,45.03425737007523
turin,vehev1,25227,7.6738749102087365,45.03428523040557
turin,vehev1,25228,7.673888140585158,45.03431363966187
turin,vehev1,25229,7.673797696982777,45.03438360201198
turin,vehev1,25230,7.67377534349961,45.034388011518175
turin,vehev1,25231,7.6737542034509865,45.034392181654454
turin,vehev1,25232,7.673733137791945,45.034396337111964
turin,vehev1,25233,7.67371149300588,45.0344006068046
turin,vehev1,25234,7.673684571686106,45.03440591734995
turin,vehev1,25235,7.673656016206973,45.034411550244265
turin,vehev1,25236,7.673633045191541,45.03441608153334
turin,vehev1,25237,7.67360576734663,45.034421462385616
turin,vehev1,25238,7.673579911464304,45.034426562733294
turin,vehev1,25239,7.673562552170545,45.03442998703474
turin,vehev1,25240,7.673537899961633,45.03443484993436
turin,vehev1,25241,7.673512215173851,45.03443991651411
turin,vehev1,25242,7.6734959417607636,45.03444312660318
turin,vehev1,25243,7.673476726261287,45.03444691704395
turin,vehev1,25244,7.673460274321079,45.034450162343255
turin,vehev1,25245,7.673439159011626,45.03445432753181
turin,vehev1,25246,7.6734176139169215,45.034458577494796
turin,vehev1,25247,7.673392967027262,45.03446343930882
turin,vehev1,25248,7.67336394621604,45.034469163909144
turin,vehev1,25249,7.6733476251951895,45.0344723833647
turin,vehev1,25250,7.6733250696814395,45.03447683262078
turin,vehev1,25251,7.673298290742689,45.03448211497462
turin,vehev1,25252,7.673272991072978,45.03448710552447
turin,vehev1,25253,7.67324913694988,45.03449181092343
turin,vehev1,25254,7.673223867391114,45.034496795521015
turin,vehev1,25255,7.673206913696746,45.034500139752424
turin,vehev1,25256,7.67318468380405,45.03450452474539
turin,vehev1,25257,7.673155604730974,45.03451026077678
turin,vehev1,25258,7.6731395525647725,45.03451342716457
turin,vehev1,25259,7.673116738304498,45.0345179274122
turin,vehev1,25260,7.67309991298995,45.03452124630152
turin,vehev1,25261,7.6730789093321246,45.03452538938886
turin,vehev1,25262,7.673052219600463,45.03453065407916
turin,vehev1,25263,7.673036042484896,45.034533845096966
turin,vehev1,25264,7.673020043156104,45.034537001042835
turin,vehev1,25265,7.67299673772224,45.034541598149
turin,vehev1,25266,7.672979580526359,45.03454498248284
turin,vehev1,25267,7.6729609379526185,45.03454865981073
turin,vehev1,25268,7.67294063584412,45.034552664485005
turin,vehev1,25269,7.672919771357568,45.03455678008626
turin,vehev1,25270,7.672898277443454,45.03456101983996
turin,vehev1,25271,7.6728729587045175,45.0345660140484
turin,vehev1,25272,7.67284409475528,45.03457170755383
turin,vehev1,25273,7.6728209487421015,45.03457627317214
turin,vehev1,25274,7.6727977190539685,45.03458085529011
turin,vehev1,25275,7.67277293742177,45.03458574352714
turin,vehev1,25276,7.672748148744958,45.03459063314749
turin,vehev1,25277,7.672718776618191,45.03459642685521
turin,vehev1,25278,7.6725763370654825,45.03455971391016
turin,vehev1,25279,7.6725631622208805,45.03453007787702
turin,vehev1,25280,7.6725431825670904,45.03448513476847
turin,vehev1,25281,7.672518101058295,45.03442871522151
turin,vehev1,25282,7.672492426884538,45.03437096238776
turin,vehev1,25283,7.672466736044505,45.03431317194468
turin,vehev1,25284,7.672440173623285,45.03425342079154
turin,vehev1,25285,7.672415646476451,45.03419824779717
turin,vehev1,25286,7.672399623359108,45.03416206881838
turin,vehev1,25287,7.67238279464092,45.03412365354162
turin,vehev1,25288,7.672369511829255,45.03409333254471
turin,vehev1,25289,7.672356670558699,45.03406401943322
turin,vehev1,25290,7.6723397224725005,45.03402533153697
turin,vehev1,25291,7.672322938541913,45.03398701831095
turin,vehev1,25292,7.672309172737133,45.03395559462009
turin,vehev1,25293,7.672295185036063,45.03392366436262
turin,vehev1,25294,7.672278837309752,45.03388659947462
turin,vehev1,25295,7.672262871055262,45.03385045881885
turin,vehev1,25296,7.672248407811966,45.03381772028642
turin,vehev1,25297,7.672232429269474,45.03378155172695
turin,vehev1,25298,7.6721625659739905,45.03362353214736
turin,vehev1,25299,7.672137955260116,45.033567940547094
turin,vehev1,25300,7.672107202492143,45.0334984748903
turin,vehev1,25301,7.6720789456929674,45.03343464708175
turin,vehev1,25302,7.672051452747436,45.033372544562596
turin,vehev1,25303,7.671981163970296,45.033309887377364
turin,vehev1,25304,7.671950003357287,45.033239527895915
turin,vehev1,25305,7.67191869983443,45.033168845551366
turin,vehev1,25306,7.6718880924955934,45.03309973499528
turin,vehev1,25307,7.671858877592398,45.033033768362635
turin,vehev1,25308,7.671831051928626,45.0329709384586
turin,vehev1,25309,7.671752136809025,45.03279283943606
turin,vehev1,25310,7.6717395680609055,45.03276448789616
turin,vehev1,25311,7.6717252433273435,45.03273217531489
turin,vehev1,25312,7.671599822147908,45.032449032371204
turin,vehev1,25313,7.671572157817691,45.03238656319981
turin,vehev1,25314,7.6715450712962685,45.03232539865063
turin,vehev1,25315,7.671517805576249,45.03226382931495
turin,vehev1,25316,7.671488086770485,45.03219672045693
turin,vehev1,25317,7.671410878185323,45.032019004037885
turin,vehev1,25318,7.67138581869563,45.03195995592193
turin,vehev1,25319,7.6713585692149,45.03189574735094
turin,vehev1,25320,7.671331505651179,45.03183197671535
turin,vehev1,25321,7.671304703276539,45.03176882138445
turin,vehev1,25322,7.671279984853802,45.031710576413374
turin,vehev1,25323,7.671252992071898,45.03164697214448
turin,vehev1,25324,7.671224325524523,45.031579423751545
turin,vehev1,25325,7.671197486226136,45.0315161808481
turin,vehev1,25326,7.671172760344499,45.03145791777805
turin,vehev1,25327,7.671147906612947,45.03139935332597
turin,vehev1,25328,7.671122165435487,45.03133869759931
turin,vehev1,25329,7.671096398702992,45.03127798152454
turin,vehev1,25330,7.671071502345918,45.031219316255864
turin,vehev1,25331,7.671046575867847,45.031160579888116
turin,vehev1,25332,7.671021601865302,45.03110173141141
turin,vehev1,25333,7.670993120382456,45.03103461779481
turin,vehev1,25334,7.6709657563384335,45.03097013715437
turin,vehev1,25335,7.670883635726129,45.03078162944016
turin,vehev1,25336,7.670855576858869,45.03071863987659
turin,vehev1,25337,7.670827245806971,45.03065503913975
turin,vehev1,25338,7.6707967875659095,45.03058666288777
turin,vehev1,25339,7.670769346908541,45.03052506072044
turin,vehev1,25340,7.670740655594687,45.03046065078032
turin,vehev1,25341,7.670711476258907,45.0303951451139
turin,vehev1,25342,7.670683135524585,45.03033152190509
turin,vehev1,25343,7.6706542975478085,45.03026678226896
turin,vehev1,25344,7.67062728579608,45.03020614226944
turin,vehev1,25345,7.670596847364259,45.030137809391064
turin,vehev1,25346,7.6705703895465565,45.030078412672545
turin,vehev1,25347,7.670483958762612,45.02988859395739
turin,vehev1,25348,7.670444952122094,45.02980401845302
turin,vehev1,25349,7.670399087452105,45.029704572811
turin,vehev1,25350,7.670353388120259,45.02960548530872
turin,vehev1,25351,7.6703048461891425,45.02950023395915
turin,vehev1,25352,7.670257970836833,45.02939859580216
turin,vehev1,25353,7.670176400078301,45.02921738424138
turin,vehev1,25354,7.670134299955064,45.02912250212291
turin,vehev1,25355,7.670092807342833,45.02902898885271
turin,vehev1,25356,7.670053115586213,45.02893953393786
turin,vehev1,25357,7.670012520012531,45.02884804175824
turin,vehev1,25358,7.669972582695613,45.02875803283142
turin,vehev1,25359,7.669934774912962,45.02867282308634
turin,vehev1,25360,7.669894226519624,45.028581436368626
turin,vehev1,25361,7.669868332690353,45.0284939348921
turin,vehev1,25362,7.669845533437567,45.0284005235492
turin,vehev1,25363,7.6698219285551295,45.02830381113158
turin,vehev1,25364,7.669753136977465,45.028087067282804
turin,vehev1,25365,7.669707035322216,45.027984854288675
turin,vehev1,25366,7.669660322960042,45.027881286901334
turin,vehev1,25367,7.669610883760042,45.02777167334129
turin,vehev1,25368,7.6695644735843365,45.027668775156634
turin,vehev1,25369,7.6695174947930544,45.02756461588157
turin,vehev1,25370,7.669470887518639,45.027461279933334
turin,vehev1,25371,7.669424541328001,45.027358522471445
turin,vehev1,25372,7.669377602902788,45.02725445153856
turin,vehev1,25373,7.669329660947366,45.027148155198425
turin,vehev1,25374,7.669288829211524,45.02705762323463
turin,vehev1,25375,7.669263371127243,45.02700117752201
turin,vehev1,25376,7.669188085256919,45.02682426220562
turin,vehev1,25377,7.669168751092989,45.02677712580319
turin,vehev1,25378,7.669148145589757,45.02672688980796
turin,vehev1,25379,7.669128505152548,45.02667900655015
turin,vehev1,25380,7.669106381778897,45.02662506981225
turin,vehev1,25381,7.6690848028998735,45.02657246045184
turin,vehev1,25382,7.669060707654659,45.02651464448742
turin,vehev1,25383,7.669035522244729,45.026455806952335
turin,vehev1,25384,7.669011920403467,45.02640279659174
turin,vehev1,25385,7.668989552383019,45.02635255733267
turin,vehev1,25386,7.668966836872719,45.02630153750844
turin,vehev1,25387,7.668914377954611,45.026184940157755
turin,vehev1,25388,7.668818066984339,45.0261739091538
turin,vehev1,25389,7.668730589812323,45.02620029231269
turin,vehev1,25390,7.6686294049356984,45.02623080960746
turin,vehev1,25391,7.6685056418424535,45.02626813631085
turin,vehev1,25392,7.668357800851679,45.02631272461914
turin,vehev1,25393,7.668208795822201,45.02635766373158
turin,vehev1,25394,7.6680682394322055,45.02640005453547
turin,vehev1,25395,7.667928228709147,45.02644228053413
turin,vehev1,25396,7.667775936580952,45.02648821022879
turin,vehev1,25397,7.667625732108186,45.02653351003572
turin,vehev1,25398,7.667521163310932,45.02656504652861
turin,vehev1,25399,7.66744808567854,45.02657555144838
turin,vehev1,25400,7.667250196952005,45.02657749848768
turin,vehev1,25401,7.667111148675162,45.026617107795104
turin,vehev1,25402,7.666955957595583,45.02666131527673
turin,vehev1,25403,7.666774334637128,45.026714064421675
turin,vehev1,25404,7.666567803977681,45.02677417954171
turin,vehev1,25405,7.666343560251847,45.026839449855075
turin,vehev1,25406,7.666116840682984,45.02690544020578
turin,vehev1,25407,7.66589840828486,45.02696901786977
turin,vehev1,25408,7.665679144512541,45.027032836950426
turin,vehev1,25409,7.665506702545259,45.027074967832824
turin,vehev1,25410,7.6653523905899945,45.02710660279421
turin,vehev1,25411,7.665200456192453,45.027137750101645
turin,vehev1,25412,7.664751694717406,45.02724097888012
turin,vehev1,25413,7.664566076752271,45.02729483794989
turin,vehev1,25414,7.664363233112779,45.027353694772366
turin,vehev1,25415,7.664166986880193,45.02741063683954
turin,vehev1,25416,7.66395189908317,45.027474628722786
turin,vehev1,25417,7.663699413398637,45.0275520810369
turin,vehev1,25418,7.663433149196581,45.02763375920095
turin,vehev1,25419,7.663177509727887,45.02771217735447
turin,vehev1,25420,7.662915487000035,45.02779255276894
turin,vehev1,25421,7.662649307709421,45.02787420235567
turin,vehev1,25422,7.662394098584463,45.02795248607483
turin,vehev1,25423,7.662156143194091,45.02802547661295
turin,vehev1,25424,7.661967614716351,45.028083305431274
turin,vehev1,25425,7.661828918764102,45.02812519094548
turin,vehev1,25426,7.661687530691441,45.02816488766379
turin,vehev1,25427,7.661531504685034,45.02820917846757
turin,vehev1,25428,7.661352768882107,45.02826529988411
turin,vehev1,25429,7.661148731903409,45.02832936515996
turin,vehev1,25430,7.660924030141964,45.02839991834922
